state	year	state.population	prison.population	region
Oklahoma	1987	NA	8381	South
Oregon	1987	NA	4309	West
Pennsylvania	1987	NA	16302	Northeast
Rhode Island	1987	NA	1440	Northeast
South Carolina	1987	NA	11070	South
South Dakota	1987	NA	1128	Midwest
Tennessee	1987	NA	7249	South
Texas	1987	NA	38821	South
Utah	1987	NA	1818	West
Vermont	1987	NA	744	Northeast
Virginia	1987	NA	11522	South
Washington	1987	NA	6430	West
West Virginia	1987	NA	1477	South
Wisconsin	1987	NA	5847	Midwest
Wyoming	1987	NA	916	West
Alabama	1988	NA	12365	South
Alaska	1988	NA	2307	West
Arizona	1988	NA	12095	West
Arkansas	1988	NA	5455	South
California	1988	NA	76171	West
Colorado	1988	NA	5646	West
Connecticut	1988	NA	7516	Northeast
Delaware	1988	NA	3045	South
Florida	1988	NA	34327	South
Georgia	1988	NA	18787	South
Hawaii	1988	NA	2155	West
Idaho	1988	NA	1493	West
Illinois	1988	NA	21081	Midwest
Indiana	1988	NA	11444	Midwest
Iowa	1988	NA	3034	Midwest
Kansas	1988	NA	5932	Midwest
Kentucky	1988	NA	6187	South
Louisiana	1988	NA	12110	South
Maine	1988	NA	1285	Northeast
Maryland	1988	NA	14084	South
Massachusetts	1988	NA	6862	Northeast
Michigan	1988	NA	27612	Midwest
Minnesota	1988	NA	2942	Midwest
Mississippi	1988	NA	6348	South
Missouri	1988	NA	12176	Midwest
Montana	1988	NA	1249	West
Nebraska	1988	NA	2161	Midwest
Nevada	1988	NA	4902	West
New Hampshire	1988	NA	983	Northeast
New Jersey	1988	NA	14652	Northeast
New Mexico	1988	NA	2745	West
New York	1988	NA	44560	Northeast
North Carolina	1988	NA	17292	South
North Dakota	1988	NA	525	Midwest
Ohio	1988	NA	26113	Midwest
Oklahoma	1988	NA	8921	South
Oregon	1988	NA	4703	West
Pennsylvania	1988	NA	17929	Northeast
Rhode Island	1988	NA	1918	Northeast
South Carolina	1988	NA	13002	South
South Dakota	1988	NA	1030	Midwest
Tennessee	1988	NA	7354	South
Texas	1988	NA	40437	South
Utah	1988	NA	2057	West
Vermont	1988	NA	770	Northeast
Virginia	1988	NA	12787	South
Washington	1988	NA	7089	West
West Virginia	1988	NA	1482	South
Wisconsin	1988	NA	6159	Midwest
Wyoming	1988	NA	945	West
Alabama	1989	NA	13619	South
Alaska	1989	NA	2484	West
Arizona	1989	NA	13251	West
Arkansas	1989	NA	5777	South
California	1989	NA	87297	West
Colorado	1989	NA	6431	West
Connecticut	1989	NA	8777	Northeast
Delaware	1989	NA	3073	South
Florida	1989	NA	39566	South
Georgia	1989	NA	20885	South
Hawaii	1989	NA	2291	West
