state	year	state.population	prison.population	state.and.federal.rate	region	sub.region	state.rate
Indiana	1987	NA	10871	194	Midwest	East North Central	NA
Iowa	1987	NA	2851	103	Midwest	West North Central	NA
Kansas	1987	NA	5875	236	Midwest	West North Central	NA
Kentucky	1987	NA	5471	175	South	East South Central	NA
Louisiana	1987	NA	11504	354	South	West South Central	NA
Maine	1987	NA	1258	105	Northeast	New England	NA
Maryland	1987	NA	13291	283	South	South Atlantic	NA
Massachusetts	1987	NA	6361	101	Northeast	New England	NA
Michigan	1987	NA	23879	260	Midwest	East North Central	NA
Minnesota	1987	NA	2706	60	Midwest	West North Central	NA
Mississippi	1987	NA	5955	260	South	East South Central	NA
Missouri	1987	NA	11357	225	Midwest	West North Central	NA
Montana	1987	NA	1187	150	West	Mountain	NA
Nebraska	1987	NA	2224	125	Midwest	West North Central	NA
Nevada	1987	NA	4371	433	West	Mountain	NA
New Hampshire	1987	NA	845	82	Northeast	New England	NA
New Jersey	1987	NA	13650	208	Northeast	Mid Atlantic	NA
New Mexico	1987	NA	2672	175	West	Mountain	NA
New York	1987	NA	40842	229	Northeast	Mid Atlantic	NA
North Carolina	1987	NA	17404	252	South	South Atlantic	NA
North Dakota	1987	NA	482	57	Midwest	West North Central	NA
Ohio	1987	NA	23943	225	Midwest	East North Central	NA
Oklahoma	1987	NA	8381	300	South	West South Central	NA
Oregon	1987	NA	4309	202	West	Pacific	NA
Pennsylvania	1987	NA	16302	138	Northeast	Mid Atlantic	NA
Rhode Island	1987	NA	1440	100	Northeast	New England	NA
South Carolina	1987	NA	11070	351	South	South Atlantic	NA
South Dakota	1987	NA	1128	163	Midwest	West North Central	NA
Tennessee	1987	NA	7249	160	South	East South Central	NA
Texas	1987	NA	38821	234	South	West South Central	NA
Utah	1987	NA	1818	109	West	Mountain	NA
Vermont	1987	NA	744	93	Northeast	New England	NA
Virginia	1987	NA	11522	218	South	South Atlantic	NA
Washington	1987	NA	6430	135	West	Pacific	NA
